village_name,english_sentence,telugu_sentence,english_telugu_sentence
Gudihatnoor,   Gudihatnoor is cherished for its warm hospitality.,   ??????????? ???? ??????? ??????? ???? ???? ????????????.,   Gu?'?ihatn?r d?ni veccani ?tithya? k?sa? ent? ?darin?caba?indi.
Muthnoor Tanda,   Muthnoor Tanda is renowned for its lush green landscapes .,   ???????? ???? ?????? ??????? ????????? ????????? ????????.,   Mutn?r ta??? paccani prakr?ti dr??y?laku prasid'dhi cendindi.
Damanguda,   Damanguda is known for its agricultural prosperity.,   ??????? ??????? ??????????? ????????? ????????.,   D?ma?gu?a vyavas?ya ?r?yas'suku prasid'dhi cendindi.
Dongargaon,   Dongargaon is celebrated for its traditional art forms.,   ??????????? ???? ????????? ???????? ???? ????????????.,   ???gar?g?v d?ni s?mprad?ya ka??r?p?la k?sa? jarupuku???ru.
UmriB,   UmriB is famous for its historical monuments.,   UmriB ???? ???????? ????????? ????????? ????????.,   UmriB d?ni c?ritraka ka??a??laku prasid'dhi cendindi.
Soyamguda,   Soyamguda is cherished for its cultural diversity.,   ??????? ???? ?????????? ???????????? ???? ???? ????????.,   S?ya?g??a d?ni s?nskr?tika vaividhy?niki ent? ?dara?a pondindi.
Shantapur,   Shantapur is renowned for its grand temples.,   ???????? ???? ????? ?????????? ????????? ????????.,   ??ntap?r d?ni goppa d?v?lay?laku prasid'dhi cendindi.
Gondharkapur,   Gondharkapur is known for its scenic beauty.,   ????????????? ???? ???????? ???????? ????????? ????????.,   G?ndh?rk?p?r d?ni sundaramaina and?niki prasid'dhi cendindi.
Belluri,   Belluri is celebrated for its picturesque landscapes.,   ???????? ???? ???????? ??????? ??????? ???? ????????????.,   Bell?ri d?ni sundaramaina prakr?ti dr??y?la k?sa? jarupuku???ru.
Guruj,   Guruj is famous for its traditional dance forms.,   ?????? ????????? ????? ??????? ????????? ????????.,   Guruj s?mprad?ya nr?tya r?p?laku prasid'dhi cendindi.
Mannur,   Mannur is cherished for its rich biodiversity.,   ??????? ???? ????? ??????????????? ???? ???? ????????.,   Mann?r d?ni goppa j?vavaividhy?niki ent? ?dara?a pondindi.
Sambuguda,   Sambuguda is renowned for its vibrant markets.,   ??????? ???? ??????????? ??????????? ????????? ????????.,   Sambug??a d?ni ?aktivantamaina m?rke?laku prasid'dhi cendindi.
Borgaon,   Borgaon is known for its historical significance.,   ???????? ???? ???????? ???????????? ????????? ????????.,   B?rg?v d?ni c?ritraka pr?mukhyataku prasid'dhi cendindi.
Kamagiri,   Kamagiri is celebrated for its serene lakes.,   ??????? ???? ????????? ??????? ???? ????????????.,   K?magiri d?ni nirmalamaina saras'sula k?sa? jarupuku???ru.
Junni,   Junni is famous for its warm hospitality.,   ?????? ?? ??????? ??????????? ????????? ????????.,   Junni tana veccani ?tithy?niki prasid'dhi cendindi.
Ichoda,   Ichoda is cherished for its scenic beauty.,   ??????? ???? ???????? ???????? ???? ???? ????????.,   Icc??? d?ni sundaramaina and?niki ent? ?dara?a pondindi.
Dubarpet,   Dubarpet is renowned for its agricultural prosperity.,   ????????? ??????? ??????????? ????????? ????????.,   Dub?rup??a vyavas?ya ?r?yas'suku prasid'dhi cendindi.
Adegaon,   Adegaon is known for its historical landmarks.,   ??????? ???? ???????? ????????? ????????? ????????.,   Ad?g?v d?ni c?ritraka ?nav??laku prasid'dhi cendindi.
Gubba,   Gubba is celebrated for its cultural diversity.,   ?????? ???? ?????????? ???????? ???? ????????????.,   Gubb? d?ni s?nskr?tika vaividhya? k?sa? jarupuku???ru.
Kokasmanoor,   Kokasmanoor is famous for its lush greenery.,   ?????????? ?????? ??????? ?????????.,   K?kasman?ru paccani ce?laku prasid'dhi.
SathnumberGaon,   SathnumberGaon is cherished for its warm hospitality.,   ??????????????? ???? ??????? ??????? ???? ???? ?????????.,   S?t?nambar?g?v d?ni veccani ?tithya? k?sa? ent? viluvainadi.
Mukra,   Mukra is renowned for its vibrant festivals.,   ?????? ???? ??????????? ???????? ????????? ????????.,   Mukr? d?ni ?aktivantamaina pa??ugalaku prasid'dhi cendindi.
DevulanaikTanda,   DevulanaikTanda is known for its religious festivals.,   ?????????? ???? ??????? ???????? ????????? ????????.,   D?vulan?yak ta??? mataparamaina pa??ugalaku prasid'dhi cendindi.
Madhapur,   Madhapur is celebrated for its bustling markets.,   ???????? ??????? ???? ?????????? ???? ????????????.,   M?d?p?r sanda?ig? u??? m?rke??la k?sa? jarupuku???ru.
Ponna,   Ponna is famous for its scenic beauty.,   ?????? ???? ???????? ???????? ????????? ????????.,   Ponn? d?ni sundaramaina and?niki prasid'dhi cendindi.
Talamadri,   Talamadri is cherished for its tranquil atmosphere.,   ???????? ?????????? ???????????? ???? ???? ????????.,   Talam?dri pra??ntamaina v?t?vara??niki ent? ?dara?a pondindi.
Sonpalli,   Sonpalli is renowned for its rich agricultural heritage.,   ?????????? ???? ????? ??????? ???????????? ????????? ????????.,   S?n?palli d?ni goppa vyavas?ya v?rasatv?niki prasid'dhi cendindi.
Heerapur,   Heerapur is known for its historical significance.,   ???????? ???????? ???????????? ????????? ????????.,   H?r?p?r c?ritraka pr?dh?n'yataku prasid'dhi cendindi.
Dhaba,   Dhaba is celebrated for its delicious cuisine.,   ???? ???? ????????? ?????? ???? ????????????.,   Dh?b? d?ni rucikaramaina va??ak?la k?sa? jarupuku???ru.
Salyada,   Salyada is famous for its vibrant culture.,   ????? ???? ??????????? ?????????? ????????? ????????.,   Salyada d?ni ?aktivantamaina sanskr?tiki prasid'dhi cendindi.
Sunkidi,   Sunkidi is cherished for its cultural diversity.,   ??????? ???? ?????????? ???????????? ???? ???? ????????.,   Su?ki?i d?ni s?nskr?tika vaividhy?niki ent? ?dara?a pondindi.
Sirikonda,    Sirikonda is renowned for its lush green landscapes.,    ???????? ?????? ??????? ????????? ????????? ????????.,    Siriko??a paccani prakr?ti dr??y?laku prasid'dhi cendindi.
Jamidi,    Jamidi is known for its warm hospitality.,    ?????? ???? ??????? ??????????? ????????? ????????.,    J?mi?i d?ni veccani ?tithy?niki prasid'dhi cendindi.
Gerjam,    Gerjam is known for its lush green landscapes.,    ???????? ?????? ??????? ????????? ????????? ????????.,    Gerj?m paccani prakr?ti dr??y?laku prasid'dhi cendindi.
Jalda,    Jalda is celebrated for its vibrant culture.,    ????? ???? ??????????? ???????? ???? ????????????.,    Jald? d?ni ?aktivantamaina sanskr?ti k?sa? jarupuku???ru.
Chincholi,    Chincholi is renowned for its ancient temples.,    ??????? ?????? ?????????? ????????? ????????.,    Cin?c?li pur?tana d?v?lay?laku prasid'dhi cendindi.
Navegaon,    Navegaon is cherished for its scenic beauty.,    ??????? ???? ???????? ???????? ???? ???? ????????.,    Nav?g?v d?ni sundaramaina and?niki ent? ?dara?a pondindi.
Malyal,    Malyal is famous for its historical landmarks.,    ???????? ???? ???????? ????????? ????????? ????????.,    M?ly?l d?ni c?ritraka ?nav??laku prasid'dhi cendindi.
Keshavpatnam,    Keshavpatnam is known for its rich biodiversity.,    ????????? ????? ??????????????? ?????????.,    K??avapa?na? goppa j?vavaividhy?niki prasid'dhi.
Gundi,    Gundi is celebrated for its warm hospitality.,    ????? ???? ??????? ??????? ???? ????????????.,    Gu??i d?ni veccani ?tithya? k?sa? jarupuku???ru.
Narsapur,    Narsapur is renowned for its grand festivals.,    ????????? ????? ???????? ????????? ????????.,    Nars?p?r goppa pa??ugalaku prasid'dhi cendindi.
Gundala,    Gundala is cherished for its serene lakes.,    ?????? ???? ????????? ??????? ???? ???? ??????? ????.,    Gu???la d?ni nirmalamaina saras'sula k?sa? ent? pr?mag? undi.
Yellammaguda,    Yellammaguda is famous for its bustling markets.,    ?????????? ??????? ???? ???????????? ?????????.,    Ellam'mag??a sanda?ig? u??? m?rke??laku prasid'dhi.
Sirichalma,    Sirichalma is celebrated for its strong community bonds.,    ???????? ???? ????? ???? ????? ???? ????????????.,    Siricalma d?ni balamaina sam?ja bandh?la k?sa? jarupuku???ru.
Babjipet,    Babjipet is renowned for its agricultural prosperity.,    ????????? ??????? ??????????? ????????? ????????.,    B?bj?p??a vyavas?ya ?r?yas'suku prasid'dhi cendindi.
Neradigondag,    Neradigondag is known for its historical monuments.,    ??????????? ???????? ????????? ?????????.,    N?ra?igo??ag c?ritraka ka??a??laku prasid'dhi.
Kuntaguda,    Kuntaguda is cherished for its traditional craftsmanship.,    ??????? ???? ????????? ???????? ???? ???? ????????.,    Ku??ag??a d?ni s?mprad?ya hastaka?aku ent? ?dara?a pondindi.
Jandaguda,    Jandaguda is famous for its religious festivals.,    ??????? ??????? ???????? ????????? ????????.,    Ja???g??a mataparamaina pa??ugalaku prasid'dhi cendindi.
Narayanpur,    Narayanpur is celebrated for its cultural heritage.,    ?????????? ???? ?????????? ???????? ???? ????????????.,    N?r?ya?ap?r d?ni s?nskr?tika v?rasatva? k?sa? jarupuku???ru.
Bazarhathnoor,    Bazarhathnoor is renowned for its bustling markets.,    ???????????? ??????? ???? ??????????? ????????? ????????.,    Baj?r'hatn?r sanda?ig? u??? m?rke?laku prasid'dhi cendindi.
Balanpur,    Balanpur is known for its warm hospitality.,    ???????? ???? ??????? ??????????? ????????? ????????.,    Balanp?r d?ni veccani ?tithy?niki prasid'dhi cendindi.
Kothapally,    Kothapally is celebrated for its scenic beauty.,    ?????????? ???? ???????? ???? ???? ????????????.,    Kottapalli d?ni sundaramaina anda? k?sa? jarupuku???ru.
Kolhari,    Kolhari is famous for its scenic beauty.,    ???????? ???? ???????? ???????? ????????? ????????.,    Kol'h?ri d?ni sundaramaina and?niki prasid'dhi cendindi.
Jatharla,    Jatharla is renowned for its serene lakes.,    ?????? ????????? ????????? ????????? ????????.,    J?tarla nirmalamaina saras'sulaku prasid'dhi cendindi.
Andhguda,    Andhguda is cherished for its warm hospitality.,    ???????? ???? ??????? ??????? ???? ???? ?????????.,    And?g??a d?ni veccani ?tithya? k?sa? ent? viluvainadi.
Dahegaon,    Dahegaon is known for its agricultural prosperity.,    ??????? ??????? ??????????? ????????? ????????.,    Daheg?v vyavas?ya ?r?yas'suku prasid'dhi cendindi.
Dharmapuri,    Dharmapuri is celebrated for its historical significance.,    ???????? ???? ???????? ?????????? ???? ????????????.,    Dharmapuri d?ni c?ritraka pr?mukhyata k?sa? jarupuku???ru.
Bhutai-B,    Bhutai-B is famous for its vibrant festivals.,    ????-?? ???? ??????????? ???????? ????????? ????????.,    Bh??ai-bi d?ni ?aktivantamaina pa??ugalaku prasid'dhi cendindi.
ChanduNayak Tanda,    ChanduNayak Tanda is renowned for its rich cultural heritage.,    ????????? ???? ???? ????? ?????????? ???????????? ????????? ????????.,    Candun?yak ta??? d?ni goppa s?nskr?tika v?rasatv?niki prasid'dhi cendindi.
Bhutai-K,    Bhutai-K is celebrated for its grand temples.,    ????-?? ???? ????? ???????? ???? ????????????.,    Bh??ai-ke d?ni goppa d?v?lay?la k?sa? jarupuku???ru.
Girjai,    Girjai is known for its picturesque landscapes.,    ?????? ???? ???????? ??????? ????????? ????????? ????????.,    Girjai d?ni sundaramaina prakr?ti dr??y?laku prasid'dhi cendindi.
Umarda-B,    Umarda-B is cherished for its serene atmosphere.,    ??????-?? ???? ????????? ???????????? ???? ???? ????????.,    Umard?-bi d?ni nirmalamaina v?t?vara??niki ent? ?dara?a pondindi.
Dedra,    Dedra is famous for its ancient ruins.,    ?????? ?????? ????????? ????????? ????????.,    ?e?r? pur?tana ?ithil?laku prasid'dhi cendindi.
GosaiUmarda,    GosaiUmarda is celebrated for its vibrant culture.,    ?????? ?????? ???? ??????????? ???????? ???? ????????????.,    G?s?yi umard? d?ni ?aktivantamaina sanskr?ti k?sa? jarupuku???ru.
Mankapur,    Mankapur is renowned for its lush greenery.,    ????????? ????????? ????????? ????????.,    Mank?p?r paccadanant? prasid'dhi cendindi.
ChintalSangvi,    ChintalSangvi is known for its bustling markets.,    ????????????? ??????? ???? ???????????? ????????? ????????.,    Cintal?sa?gvi sanda?ig? u??? m?rke??laku prasid'dhi cendindi.
Gokonda,    Gokonda is celebrated for its rich biodiversity.,    ?????? ???? ????? ??????????? ???? ????????????.,    G?ko??a d?ni goppa j?vavaividhya? k?sa? jarupuku???ru.
Morkandi,    Morkandi is famous for its traditional art forms.,    ???????? ???? ????????? ?????????? ????????? ????????.,    M?rka??i d?ni s?mprad?ya ka??r?p?laku prasid'dhi cendindi.
Gulabtanda,    Gulabtanda is renowned for its warm hospitality.,    ??????????? ???? ??????? ??????????? ????????? ????????.,    Gul?bt???? d?ni veccani ?tithy?niki prasid'dhi cendindi.
Tembi,    Tembi is celebrated for its grand festivals.,    ????? ???? ????? ???????? ????????????.,    ?embi d?ni goppa pa??ugalaku jarupuku???ru.
Harkai,    Harkai is known for its historical landmarks.,    ????? ???? ???????? ????????? ????????? ????????.,    Harkai d?ni c?ritraka ?nav??laku prasid'dhi cendindi.
Kinnerapalli,    Kinnerapalli is cherished for its scenic beauty.,    ???????????? ???? ???????? ???????? ???? ???? ????????.,    Kinnerapalli d?ni rama??yamaina and?niki ent? ?dara?a pondindi.
ShyamRaoGuda,    ShyamRaoGuda is famous for its cultural heritage.,    ?????????????? ???? ?????????? ???????????? ????????? ????????.,    ?y?m?r?vug??a d?ni s?nskr?tika v?rasatv?niki prasid'dhi cendindi.
Vartamanoor,    Vartamanoor is renowned for its ancient temples.,    ?????????? ?????? ?????????? ????????? ????????.,    Vartam?n?ru pur?tana d?v?lay?laku prasid'dhi cendindi.
Pipiri,    Pipiri is celebrated for its lush green landscapes.,    ?????? ?????? ??????? ??????? ???? ????????????.,    Pipiri paccani prakr?ti dr??y?la k?sa? jarupuku???ru.
Rampur,    Rampur is known for its agricultural prosperity.,    ??????? ??????? ??????????? ????????? ????????.,    R?mp?r vyavas?ya ?r?yas'suku prasid'dhi cendindi.
Bhosra,    Bhosra is famous for its historical significance.,    ?????? ???? ???????? ???????????? ????????? ????????.,    Bh?sr? d?ni c?ritraka pr?mukhyataku prasid'dhi cendindi.
Dignoor,    Dignoor is celebrated for its vibrant culture.,    ???????? ???? ??????????? ?????????? ????????????.,    Dign?r d?ni ?aktivantamaina sanskr?tiki jarupuku???ru.
Girnoor,    Girnoor is renowned for its warm hospitality.,    ???????? ???? ??????? ??????????? ????????? ????????.,    Girn?r d?ni veccani ?tithy?niki prasid'dhi cendindi.
Kandli,    Kandli is known for its scenic beauty.,    ?????? ???? ???????? ???????? ????????? ????????.,    Ka??li d?ni sundaramaina and?niki prasid'dhi cendindi.
Ghanpur,    Ghanpur is celebrated for its bustling markets.,    ???????? ??????? ???? ?????????? ???? ????????????.,    Ghan?p?r sanda?ig? u??? m?rke??la k?sa? jarupuku???ru.
KotaK,    KotaK is renowned for its grand festivals.,    ????? ???? ????? ???????? ????????? ????????.,    K??ak d?ni goppa pa??ugalaku prasid'dhi cendindi.
Sonala,    Sonala is known for its tranquil atmosphere.,    ?????? ?????????? ???????????? ????????? ????????.,    S?n?l? pra??ntamaina v?t?vara??niki prasid'dhi cendindi.
Sakera,    Sakera is celebrated for its lush greenery.,    ????? ???? ??????? ???? ????????????.,    Sak?r? d?ni paccadana? k?sa? jarupuku???ru.
Sangvi,    Sangvi is renowned for its historical landmarks.,    ??????? ???? ???????? ????????? ????????? ????????.,    S??gvi d?ni c?ritraka ?nav???aku prasid'dhi cendindi.
Kowtha(B),    Kowtha(B) is known for its lush green landscapes.,    ????(??) ?????? ??????? ????????? ????????? ????????.,    Kaut?(bi) paccani prakr?ti dr??y?laku prasid'dhi cendindi.
Kangutta,    Kangutta is celebrated for its vibrant culture.,    ??????? ???? ??????????? ???????? ???? ????????????.,    Ka?gu??a d?ni ?aktivantamaina sanskr?ti k?sa? jarupuku???ru.
PardiB,    PardiB is renowned for its ancient temples.,    ???????? ???? ?????? ?????????? ????????? ????????.,    P?r?ibi d?ni pur?tana d?v?lay?laku prasid'dhi cendindi.
Chintalbori,    Chintalbori is cherished for its scenic beauty.,    ?????????? ???? ???????? ???????? ???? ???? ????????.,    Cintalb?ri d?ni sundaramaina and?niki ent? ?dara?a pondindi.
Tiwity,    Tiwity is famous for its historical landmarks.,    ?????? ???? ???????? ????????? ????????? ????????.,    Tivi?? d?ni c?ritraka ?nav??laku prasid'dhi cendindi.
Wajjar(Mahadu Guda),    Wajjar (Mahadu Guda) is celebrated for its rich biodiversity.,    ?????? (???? ???) ???? ????? ??????????? ???? ????????????.,    Vajjar (mahadu g??a) d?ni goppa j?vavaividhya? k?sa? jarupuku???ru.
Keshavguda,    Keshavguda is known for its warm hospitality.,    ??????? ??????????? ?????????.,    K??avag??a ?tithy?niki prasid'dhi.
Kuchulapur,    Kuchulapur is renowned for its grand festivals.,    ?????????? ???? ????? ???????? ????????? ????????.,    Kucul?p?r d?ni goppa pa??ugalaku prasid'dhi cendindi.
Pippaldhari,    Pippaldhari is cherished for its serene lakes.,    ?????????? ???? ????????? ??????? ???? ???? ?????????????.,    Pippaladh?ri d?ni nirmalamaina saras'sula k?sa? ent? ?r?dhin?caba?indi.
DhanurB,    DhanurB is famous for its bustling markets.,    ???????? ???? ??????? ???? ???????????? ????????? ????????.,    Dhanur?bi d?ni sanda?ig? u??? m?rke??laku prasid'dhi cendindi.
Andur,    Andur is celebrated for its strong community bonds.,    ?????? ???? ????? ????????? ????? ???? ????????????.,    A???r d?ni balamaina kamy?ni?? bandh?la k?sa? jarupuku???ru.
Birlagondi,    Birlagondi is renowned for its agricultural prosperity.,    ?????????? ??????? ??????????? ????????? ????????.,    Birlago??i vyavas?ya ?r?yas'suku prasid'dhi cendindi.
Mandaboguda,    Mandaboguda is known for its picturesque landscapes.,    ???????? ???????? ??????? ????????? ?????????.,    Mandabogu?a sundaramaina prakr?ti dr??y?laku prasid'dhi.
Nagapur,    Nagapur is celebrated for its scenic beauty.,    ??????? ???? ???????? ???? ???? ????????????.,    N?gap?r d?ni sundaramaina anda? k?sa? jarupuku???ru.
Newkarathwada,    Newkarathwada is famous for its historical significance.,    ????????????? ???? ???????? ???????????? ????????? ????????.,    N'y?k?ratv??? d?ni c?ritraka pr?mukhyataku prasid'dhi cendindi.
Boath(B),    Boath(B) is renowned for its vibrant culture.,    ????(B) ???? ??????????? ?????????? ????????? ????????.,    B?t(B) d?ni ?aktivantamaina sanskr?tiki prasid'dhi cendindi.
Patnapur,    Patnapur is celebrated for its grand temples.,    ?????????? ???? ????? ???????? ???? ????????????.,    P??n?p?r d?ni goppa d?v?lay?la k?sa? jarupuku???ru.
Nakkalawada,    Nakkalawada is known for its warm hospitality.,    ???????? ??????????? ?????????.,    Nakkalav??a ?tithy?niki prasid'dhi.
Marlapalli,    Marlapalli is cherished for its traditional craftsmanship.,    ????????? ???? ????????? ???????? ???? ???? ????????.,    Marlapalli d?ni s?mprad?ya hastaka?aku ent? ?dara?a pondindi.
BaberaThanda,    BaberaThanda is famous for its cultural heritage.,    ??????????? ???? ?????????? ???????????? ????????? ????????.,    B?b?r?t???? d?ni s?nskr?tika v?rasatv?niki prasid'dhi cendindi.
Nigni,    Nigni is celebrated for its bustling markets.,    ?????? ???? ??????? ???? ????????? ???? ????????????.,    Nigni d?ni sanda?ig? unna m?rke?la k?sa? jarupuku???ru.
Pochera,    Pochera is renowned for its scenic beauty.,    ?????? ???? ???????? ???????? ????????? ????????.,    P?cer? d?ni sundaramaina and?niki prasid'dhi cendindi.
Tejapur,    Tejapur is known for its rich biodiversity.,    ???????? ???? ????? ??????????????? ????????? ????????.,    T?j?p?r d?ni goppa j?vavaividhy?niki prasid'dhi cendindi.
Buddikonda,    Buddikonda is celebrated for its lush greenery.,    ?????????? ??????? ???? ????????????.,    Buddiko??a paccadana? k?sa? jarupuku???ru.
Lakkampur,    Lakkampur is famous for its historical landmarks.,    ????????? ???? ???????? ????????? ?????????.,    Lakkamp?r d?ni c?ritraka ?nav??laku prasid'dhi.
Tarnam-B,    Tarnam-B is renowned for its grand festivals.,    ?????-?? ???? ????? ???????? ????????? ????????.,    Tarna?-bi d?ni goppa pa??ugalaku prasid'dhi cendindi.
Wagdhari,    Wagdhari is celebrated for its warm hospitality.,    ???????? ???? ??????? ??????? ???? ????????????.,    V?gdh?ri d?ni veccani ?tithya? k?sa? jarupuku???ru.
Kuptik,    Kuptik is known for its agricultural prosperity.,    ???????? ??????? ??????????? ????????? ????????.,    Kup?ik vyavas?ya ?r?yas'suku prasid'dhi cendindi.
Kumari,    Kumari is cherished for its serene lakes.,    ?????? ???? ????????? ??????? ???? ???? ?????????????.,    Kum?ri d?ni nirmalamaina saras'sula k?sa? ent? ?r?dhin?caba?indi.
Gajili,    Gajili is famous for its bustling markets.,    ????? ??????? ???? ???????????? ????????? ????????.,    Gajili sanda?ig? u??? m?rke??laku prasid'dhi cendindi.
Venkatapur,    Venkatapur is celebrated for its rich cultural heritage.,    ?????????? ???? ????? ?????????? ???????? ???? ????????????.,    Ve?ka??p?r d?ni goppa s?nskr?tika v?rasatva? k?sa? jarupuku???ru.
Buggaram,    Buggaram is renowned for its warm hospitality.,    ??????? ???? ??????? ??????????? ????????? ????????.,    Buggara? d?ni veccani ?tithy?niki prasid'dhi cendindi.
Buggaram-K,    Buggaram-K is known for its picturesque landscapes.,    ???????-?? ???? ???????? ??????? ????????? ????????? ????????.,    Buggara?-ke d?ni sundaramaina prakr?ti dr??y?laku prasid'dhi cendindi.
Kuntala-K,    Kuntala-K is celebrated for its vibrant festivals.,    ?????-?? ???? ??????????? ?????? ???? ????????????.,    Kuntala-ke d?ni ?aktivantamaina pa??ugala k?sa? jarupuku???ru.
Wddur,    Wddur is cherished for its traditional art forms .,    Wddur ???? ?????????? ?????????? ???? ???? ????????.,    Wddur d?ni s?mprad?yaka ka??r?p?laku ent? ?dara?a pondindi.
Bondidi,    Bondidi is famous for its ancient ruins.,    ??????? ?????? ????????? ????????? ????????.,    Bondi?i pur?tana ?ithil?laku prasid'dhi cendindi.
DarbaThanda,    DarbaThanda is renowned for its grand temples.,    ????????? ???? ????? ?????????? ????????? ????????.,    Darb?t???a d?ni goppa d?v?lay?laku prasid'dhi cendindi.
Neradigonda,    Neradigonda is celebrated for its scenic beauty.,    ????????? ???? ???????? ???? ???? ????????????.,    N?ra?igo??a d?ni sundaramaina anda? k?sa? jarupuku???ru.
Rolmamda,    Rolmamda is known for its rich biodiversity.,    ????????? ???? ????? ??????????????? ????????? ????????.,    R?lmam?? d?ni goppa j?vavaividhy?niki prasid'dhi cendindi.
Kistapur,    Kistapur is famous for its historical landmarks.,    ?????????? ???? ???????? ????????? ?????????.,    Kist?p?r d?ni c?ritraka ?nav??laku prasid'dhi.
Boregaon,    Boregaon is celebrated for its lush green landscapes.,    ???????? ?????? ??????? ??????? ???? ????????????.,    B?r?g?v paccani prakr?ti dr??y?la k?sa? jarupuku???ru.
Nagamalyal,    Nagamalyal is renowned for its warm hospitality.,    ?????????? ???? ??????? ??????????? ????????? ????????.,    N?gamaly?l d?ni veccani ?tithy?niki prasid'dhi cendindi.
Peechara,    Peechara is known for its cultural heritage.,    ???? ???? ?????????? ???????????? ????????? ????????.,    P?cara d?ni s?nskr?tika v?rasatv?niki prasid'dhi cendindi.
Guthpala,    Guthpala is cherished for its vibrant culture.,    ??????? ???? ??????????? ?????????? ???? ???? ????????.,    Gutpal? d?ni ?aktivantamaina sanskr?tiki ent? ?dara?a pondindi.
KortikalB,    KortikalB is celebrated for its bustling markets.,    KortikalB ???? ??????? ???? ????????? ???? ????????????.,    KortikalB d?ni sanda?ig? unna m?rke?la k?sa? jarupuku???ru.
Lingatla,    Lingatla is renowned for its scenic beauty.,    ??????? ???? ???????? ???????? ????????? ????????.,    Li?ga?la d?ni sundaramaina and?niki prasid'dhi cendindi.
Wankidi,    Wankidi is famous for its historical significance.,    ??????? ???? ???????? ???????????? ????????? ????????.,    V??ki?i d?ni c?ritraka pr?mukhyataku prasid'dhi cendindi.
Rajura,    Rajura is celebrated for its rich agricultural heritage.,    ?????? ???? ????? ??????? ???????? ???? ????????????.,    R?jur? d?ni goppa vyavas?ya v?rasatva? k?sa? jarupuku???ru.
Peddagondguda,    Peddagondguda is known for its tranquil atmosphere.,    ???????????? ??????? ???????????? ?????????.,    Peddago??ag??a pra??nta v?t?vara??niki prasid'dhi.
